Timestamp,Symbol,Signal,Price,Quantity,Value,Balance
2024-02-05,NIFTY50,BUY,21771.70,2,43543.40,56456.60
2024-03-18,NIFTY50,SELL,22055.70,2,44111.40,100568.00
2024-04-03,NIFTY50,BUY,22434.65,2,44869.30,55698.70
2024-04-23,NIFTY50,SELL,22368.00,2,44736.00,100434.70
2024-04-30,NIFTY50,BUY,22604.85,2,45209.70,55225.00
2024-05-09,NIFTY50,SELL,21957.50,2,43915.00,99140.00
2024-05-22,NIFTY50,BUY,22597.80,2,45195.60,53944.40
2024-08-08,NIFTY50,SELL,24117.00,2,48234.00,102178.40
2024-08-22,NIFTY50,BUY,24811.50,2,49623.00,52555.40
2024-10-08,NIFTY50,SELL,25013.15,2,50026.30,102581.70
2024-11-29,NIFTY50,BUY,24131.10,2,48262.20,54319.50
2024-12-20,NIFTY50,SELL,23587.50,2,47175.00,101494.50
